"Source Name","BLAKE3 Hash Digest","SIMD Tier","Threads Used","Execution Time (s)","Throughput (MB/s)","File Size (bytes)","Data Source"
f0156376.jpg,"a158c5f615dfb44c7fe7fb5162d88e02f6590ca064854ecc7607b1dafe86d77f",AVX-512,12,0.00073,10.262,7855,2011-10-19-Sample.E01
f0156352.jpg,"faf2c6d902bd7646da5cc70f725b7ae88d7a9ba3fd6f872a72e7312708c54435",AVX-512,12,0.000324,35.808,12158,2011-10-19-Sample.E01
f0156336.jpg,"603c825781d558c5518ab11a65592ad691e71e9e7f64f9fbf0f20d74833e6b59",AVX-512,12,0.000244,30.738,7858,2011-10-19-Sample.E01
f0156312.jpg,"b8340649af045121a880ac28cfbff5a88ea29a45cb42ca3522615672a7236c03",AVX-512,12,0.000226,37.09,8774,2011-10-19-Sample.E01
f0156296.jpg,"ca671f480155e3f5be16a96b3cbba7885ec0e1cb023ca172b689efd6141dfdd6",AVX-512,12,0.000304,19.849,6319,2011-10-19-Sample.E01
f0156280.jpg,"24fe6ab3e206081ad5a18d9ce7ce29cae7df46252ec45c70631c98cfb522aeaa",AVX-512,12,0.00036,14.654,5538,2011-10-19-Sample.E01
f0156272.jpg,"f020e695c97b87095b1ef2ae3a2f828b1d27ee5f18ce295495d0eccbe247182d",AVX-512,12,0.000215,15.11,3408,2011-10-19-Sample.E01
f0156256.jpg,"05d113f29009ee42715e02104cb1a8306b38f5c127fd9dbc335fa8ebbfc35ff6",AVX-512,12,0.000206,37.024,8009,2011-10-19-Sample.E01
f0156232.jpg,"1c1750b115da22d6f4c79e01cc99fa6d8b999b008cf1b654057637c6b01ff9cc",AVX-512,12,0.000315,26.417,8731,2011-10-19-Sample.E01
f0156224.jpg,"5146826fc49031499778f4c289788a87de4b65d317256e3f571d36ed7588db28",AVX-512,12,0.000241,7.041,1780,2011-10-19-Sample.E01
f0156208.jpg,"0d10bc2debdbc6710a1ed28a4d675a618de41f6b14139fffac2e9bd411bfe625",AVX-512,12,0.000253,25.655,6806,2011-10-19-Sample.E01
f0156184.jpg,"006e43af850c6ec2e2a47ae7ffa944267e978201ef8be56ff972a89b31323063",AVX-512,12,0.00022,38.351,8843,2011-10-19-Sample.E01
f0156168.jpg,"21a1139d455ea89f863ec694312b3cab82fad3c92b19dc5e2591c6f6cc233085",AVX-512,12,0.000203,28.182,5993,2011-10-19-Sample.E01
f0156152.jpg,"7d507bb43593f1860ecec8113fc615b5e8913f39acd27f5533a57491f0dc6b19",AVX-512,12,0.000311,17.251,5633,2011-10-19-Sample.E01
f0156128.jpg,"8347ff1319ead79c5363de7c9784b63ea1060732b5829d7398be7afa8c2dcc25",AVX-512,12,0.000256,30.739,8261,2011-10-19-Sample.E01
f0156120.jpg,"7a1d74f14fefcd009ee414532ce3bb796546933d964f3b7fc1cf834c387f81ca",AVX-512,12,0.000328,5.222,1796,2011-10-19-Sample.E01
